Country,ISO3,Year,Stunting_Prevalence,Overweight_Prevalence,Stunting_Risk,Overweight_Risk,GDP_per_Capita,Poverty_Rate,Fertility_Rate,Urban_Population_Percent,Female_Literacy_Rate,Male_Literacy_Rate
Albania,ALB,2008,22.8,24.1,1,1,4498.50486763601,0.8,1.616,49.3850699230207,94.6800003051758,97.3099975585938
Albania,ALB,2012,16.5,20.9,0,1,4280.93316338873,1.8,1.719,53.8637553661449,96.1399993896484,98.3499984741211
Albania,ALB,2017,12.0,16.1,0,1,5006.36012951959,1.4,1.486,55.980276426546,99.0500030517578,98.5699996948242
Argentina,ARG,2001,9.0,10.4,0,1,7141.47507662826,10.7,2.531,89.3682951289372,97.1900024414062,97.1900024414062
Argentina,ARG,2020,8.8,12.4,0,1,8535.59938004389,2.2,1.601,91.9439026594897,99.1600036621094,99.129997253418
Armenia,ARM,2001,18.1,12.5,0,1,659.588988535629,24.1,1.2,64.8228123790872,99.1600036621094,99.6699981689453
Armenia,ARM,2011,15.4,15.1,0,1,3349.55309771906,3.1,1.5,64.3207449145194,99.6900024414062,99.8099975585938
Armenia,ARM,2016,10.6,13.2,0,1,3524.42476874707,2.5,1.6,64.5928753345316,99.6900024414062,99.8099975585938
Armenia,ARM,2017,9.7,12.9,0,1,3869.05373867752,2.4,1.6,64.7124948593667,99.6800003051758,99.8099975585938
Armenia,ARM,2020,7.5,12.2,0,1,4268.68093304583,1.5,1.7,65.174217253699,99.7399978637695,99.8399963378906
Armenia,ARM,2022,6.7,12.3,0,1,6571.97445545099,1.9,1.7,65.5624462874485,99.9000015258789,99.7300033569336
Armenia,ARM,2023,6.4,12.5,0,1,8159.08720967996,1.9,1.9,65.6956882008852,99.9000015258789,99.7699966430664
Bangladesh,BGD,2016,32.8,1.9,2,0,1649.28380858601,19.5,2.227,29.8753915517965,69.9000015258789,75.620002746582
Bangladesh,BGD,2022,25.9,1.8,1,0,2716.48592780431,5.9,2.179,31.673734726234,76.5400009155273,81.3899993896484
Belarus,BLR,2009,3.1,7.2,0,0,5352.48809190697,0.5,1.509,74.1909646620571,99.4899978637695,99.7600021362305
Belarus,BLR,2019,1.4,3.2,0,0,6837.77339645635,0.0,1.382,77.4550771852757,99.879997253418,99.870002746582
Benin,BEN,2011,34.5,1.8,2,0,1059.41358852588,68.4,5.436,43.4616136137276,42.4430006160176,47.1927131129603
